[0Q] Lower Bones -- Body system (Lower Bones) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0Q2] Lower Bones, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0Q2YX0Z] Change Drainage Device in Lower Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0Q2YXYZ] Change Other Device in Lower Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0Q5] Lower Bones, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0Q933ZZ] Drainage of Left Pelvic Bone, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0Q9340Z] Drainage of Left Pelvic Bone with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0Q934ZX] Drainage of Left Pelvic Bone, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0Q934ZZ] Drainage of Left Pelvic Bone, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0Q9400Z] Drainage of Right Acetabulum with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0Q940ZX] Drainage of Right Acetabulum, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0Q940ZZ] Drainage of Right Acetabulum, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0Q9430Z] Drainage of Right Acetabulum with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0Q943ZX] Drainage of Right Acetabulum, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0Q943ZZ] Drainage of Right Acetabulum, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0Q9440Z] Drainage of Right Acetabulum with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0Q944ZX] Drainage of Right Acetabulum, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0Q944ZZ] Drainage of Right Acetabulum, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0Q9500Z] Drainage of Left Acetabulum with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0Q950ZX] Drainage of Left Acetabulum, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0Q950ZZ] Drainage of Left Acetabulum, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0Q9530Z] Drainage of Left Acetabulum with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0Q953ZX] Drainage of Left Acetabulum, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0Q953ZZ] Drainage of Left Acetabulum, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0Q9540Z] Drainage of Left Acetabulum with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0Q954ZX] Drainage of Left Acetabulum, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0Q954ZZ] Drainage of Left Acetabulum, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0Q9600Z] Drainage of Right Upper Femur with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0Q960ZX] Drainage of Right Upper Femur, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0Q960ZZ] Drainage of Right Upper Femur, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0Q9630Z] Drainage of Right Upper Femur with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0Q963ZX] Drainage of Right Upper Femur, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0Q963ZZ] Drainage of Right Upper Femur, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0Q9640Z] Drainage of Right Upper Femur with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0Q964ZX] Drainage of Right Upper Femur, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0Q964ZZ] Drainage of Right Upper Femur, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0Q9700Z] Drainage of Left Upper Femur with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0Q970ZX] Drainage of Left Upper Femur, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0Q970ZZ] Drainage of Left Upper Femur, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0Q9730Z] Drainage of Left Upper Femur with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0Q973ZX] Drainage of Left Upper Femur, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0Q973ZZ] Drainage of Left Upper Femur, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0Q9740Z] Drainage of Left Upper Femur with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0Q974ZX] Drainage of Left Upper Femur, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0Q974ZZ] Drainage of Left Upper Femur, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0Q9800Z] Drainage of Right Femoral Shaft with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0Q980ZX] Drainage of Right Femoral Shaft, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0Q980ZZ] Drainage of Right Femoral Shaft, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0Q9830Z] Drainage of Right Femoral Shaft with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0Q983ZX] Drainage of Right Femoral Shaft, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0Q983ZZ] Drainage of Right Femoral Shaft, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0Q9840Z] Drainage of Right Femoral Shaft with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0Q984ZX] Drainage of Right Femoral Shaft, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0Q984ZZ] Drainage of Right Femoral Shaft, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0Q9900Z] Drainage of Left Femoral Shaft with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0Q990ZX] Drainage of Left Femoral Shaft, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0Q990ZZ] Drainage of Left Femoral Shaft, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0Q9930Z] Drainage of Left Femoral Shaft with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0Q993ZX] Drainage of Left Femoral Shaft, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0Q993ZZ] Drainage of Left Femoral Shaft, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0Q9940Z] Drainage of Left Femoral Shaft with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0Q994ZX] Drainage of Left Femoral Shaft, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0Q994ZZ] Drainage of Left Femoral Shaft, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0Q9B00Z] Drainage of Right Lower Femur with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0Q9B0ZX] Drainage of Right Lower Femur, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0Q9B0ZZ] Drainage of Right Lower Femur, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0Q9B30Z] Drainage of Right Lower Femur with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0Q9B3ZX] Drainage of Right Lower Femur, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0Q9B3ZZ] Drainage of Right Lower Femur, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0Q9B40Z] Drainage of Right Lower Femur with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0Q9B4ZX] Drainage of Right Lower Femur, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0Q9B4ZZ] Drainage of Right Lower Femur, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0Q9C00Z] Drainage of Left Lower Femur with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0Q9C0ZX] Drainage of Left Lower Femur, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0Q9C0ZZ] Drainage of Left Lower Femur, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0Q9C30Z] Drainage of Left Lower Femur with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0Q9C3ZX] Drainage of Left Lower Femur, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0Q9C3ZZ] Drainage of Left Lower Femur, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0Q9C40Z] Drainage of Left Lower Femur with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0Q9C4ZX] Drainage of Left Lower Femur, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0Q9C4ZZ] Drainage of Left Lower Femur, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0Q9D00Z] Drainage of Right Patella with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0Q9D0ZX] Drainage of Right Patella, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0Q9D0ZZ] Drainage of Right Patella, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0Q9D30Z] Drainage of Right Patella with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0Q9D3ZX] Drainage of Right Patella, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
