[0K] Muscles -- Body system (Muscles) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0K2] Muscles, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0K2XX0Z] Change Drainage Device in Upper Muscle, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0K2XXYZ] Change Other Device in Upper Muscle, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0K2YX0Z] Change Drainage Device in Lower Muscle, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0K2YXYZ] Change Other Device in Lower Muscle, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0K5] Muscles, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0K9040Z] Drainage of Head Muscle with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0K904ZX] Drainage of Head Muscle, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0K904ZZ] Drainage of Head Muscle, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0K9100Z] Drainage of Facial Muscle with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0K910ZX] Drainage of Facial Muscle, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0K910ZZ] Drainage of Facial Muscle, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0K9130Z] Drainage of Facial Muscle with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0K913ZX] Drainage of Facial Muscle, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0K913ZZ] Drainage of Facial Muscle, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0K9140Z] Drainage of Facial Muscle with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0K914ZX] Drainage of Facial Muscle, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0K914ZZ] Drainage of Facial Muscle, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0K9200Z] Drainage of Right Neck Muscle with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0K920ZX] Drainage of Right Neck Muscle, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0K920ZZ] Drainage of Right Neck Muscle, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0K9230Z] Drainage of Right Neck Muscle with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0K923ZX] Drainage of Right Neck Muscle, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0K923ZZ] Drainage of Right Neck Muscle, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0K9240Z] Drainage of Right Neck Muscle with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0K924ZX] Drainage of Right Neck Muscle, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0K924ZZ] Drainage of Right Neck Muscle, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0K9300Z] Drainage of Left Neck Muscle with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0K930ZX] Drainage of Left Neck Muscle, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0K930ZZ] Drainage of Left Neck Muscle, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0K9330Z] Drainage of Left Neck Muscle with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0K933ZX] Drainage of Left Neck Muscle, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0K933ZZ] Drainage of Left Neck Muscle, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0K9340Z] Drainage of Left Neck Muscle with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0K934ZX] Drainage of Left Neck Muscle, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0K934ZZ] Drainage of Left Neck Muscle, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0K9400Z] Drainage of Tongue, Palate, Pharynx Muscle with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0K940ZX] Drainage of Tongue, Palate, Pharynx Muscle, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0K940ZZ] Drainage of Tongue, Palate, Pharynx Muscle, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0K9430Z] Drainage of Tongue, Palate, Pharynx Muscle with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0K943ZX] Drainage of Tongue, Palate, Pharynx Muscle, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0K943ZZ] Drainage of Tongue, Palate, Pharynx Muscle, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0K9440Z] Drainage of Tongue, Palate, Pharynx Muscle with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0K944ZX] Drainage of Tongue, Palate, Pharynx Muscle, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0K944ZZ] Drainage of Tongue, Palate, Pharynx Muscle, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0K9500Z] Drainage of Right Shoulder Muscle with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0K950ZX] Drainage of Right Shoulder Muscle, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0K950ZZ] Drainage of Right Shoulder Muscle, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0K9530Z] Drainage of Right Shoulder Muscle with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0K953ZX] Drainage of Right Shoulder Muscle, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0K953ZZ] Drainage of Right Shoulder Muscle, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0K9540Z] Drainage of Right Shoulder Muscle with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0K954ZX] Drainage of Right Shoulder Muscle, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0K954ZZ] Drainage of Right Shoulder Muscle, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0K9600Z] Drainage of Left Shoulder Muscle with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0K960ZX] Drainage of Left Shoulder Muscle, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0K960ZZ] Drainage of Left Shoulder Muscle, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0K9630Z] Drainage of Left Shoulder Muscle with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0K963ZX] Drainage of Left Shoulder Muscle, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0K963ZZ] Drainage of Left Shoulder Muscle, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0K9640Z] Drainage of Left Shoulder Muscle with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0K964ZX] Drainage of Left Shoulder Muscle, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0K964ZZ] Drainage of Left Shoulder Muscle, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0K9700Z] Drainage of Right Upper Arm Muscle with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0K970ZX] Drainage of Right Upper Arm Muscle, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0K970ZZ] Drainage of Right Upper Arm Muscle, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0K9730Z] Drainage of Right Upper Arm Muscle with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0K973ZX] Drainage of Right Upper Arm Muscle, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0K973ZZ] Drainage of Right Upper Arm Muscle, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0K9740Z] Drainage of Right Upper Arm Muscle with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0K974ZX] Drainage of Right Upper Arm Muscle, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0K974ZZ] Drainage of Right Upper Arm Muscle, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0K9800Z] Drainage of Left Upper Arm Muscle with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0K980ZX] Drainage of Left Upper Arm Muscle, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0K980ZZ] Drainage of Left Upper Arm Muscle, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0K9830Z] Drainage of Left Upper Arm Muscle with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0K983ZX] Drainage of Left Upper Arm Muscle, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0K983ZZ] Drainage of Left Upper Arm Muscle, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0K9840Z] Drainage of Left Upper Arm Muscle with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0K984ZX] Drainage of Left Upper Arm Muscle, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0K984ZZ] Drainage of Left Upper Arm Muscle, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0K9900Z] Drainage of Right Lower Arm and Wrist Muscle with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0K990ZX] Drainage of Right Lower Arm and Wrist Muscle, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0K990ZZ] Drainage of Right Lower Arm and Wrist Muscle, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0K9930Z] Drainage of Right Lower Arm and Wrist Muscle with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
