[0D] Gastrointestinal System -- Body system (Gastrointestinal System) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0D1] Gastrointestinal System, Bypass -- Altering the route of passage of the contents of a tubular body part
[0D150KB] Bypass Esophagus to Ileum with Nonautologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D150Z4] Bypass Esophagus to Cutaneous, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D150Z6] Bypass Esophagus to Stomach, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D150Z9] Bypass Esophagus to Duodenum, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D150ZA] Bypass Esophagus to Jejunum, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D150ZB] Bypass Esophagus to Ileum, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D153J4] Bypass Esophagus to Cutaneous with Synthetic Substitute, Percutaneous Approach -- Altering the route of passage of the contents of a tubular body part
[0D15474] Bypass Esophagus to Cutaneous with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D15476] Bypass Esophagus to Stomach with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D15479] Bypass Esophagus to Duodenum with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D1547A] Bypass Esophagus to Jejunum with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D1547B] Bypass Esophagus to Ileum with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D154J4] Bypass Esophagus to Cutaneous with Synthetic Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D154J6] Bypass Esophagus to Stomach with Synthetic Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D154J9] Bypass Esophagus to Duodenum with Synthetic Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D154JA] Bypass Esophagus to Jejunum with Synthetic Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D154JB] Bypass Esophagus to Ileum with Synthetic Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D154K4] Bypass Esophagus to Cutaneous with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D154K6] Bypass Esophagus to Stomach with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D154K9] Bypass Esophagus to Duodenum with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D154KA] Bypass Esophagus to Jejunum with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D154KB] Bypass Esophagus to Ileum with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D154Z4] Bypass Esophagus to Cutaneous, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D154Z6] Bypass Esophagus to Stomach, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D154Z9] Bypass Esophagus to Duodenum, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D154ZA] Bypass Esophagus to Jejunum, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D154ZB] Bypass Esophagus to Ileum, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0D15874] Bypass Esophagus to Cutaneous with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D15876] Bypass Esophagus to Stomach with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D15879] Bypass Esophagus to Duodenum with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D1587A] Bypass Esophagus to Jejunum with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D1587B] Bypass Esophagus to Ileum with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D158J4] Bypass Esophagus to Cutaneous with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D158J6] Bypass Esophagus to Stomach with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D158J9] Bypass Esophagus to Duodenum with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D158JA] Bypass Esophagus to Jejunum with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D158JB] Bypass Esophagus to Ileum with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D158K4] Bypass Esophagus to Cutaneous with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D158K6] Bypass Esophagus to Stomach with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D158K9] Bypass Esophagus to Duodenum with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D158KA] Bypass Esophagus to Jejunum with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D158KB] Bypass Esophagus to Ileum with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D158Z4] Bypass Esophagus to Cutaneous, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D158Z6] Bypass Esophagus to Stomach, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D158Z9] Bypass Esophagus to Duodenum, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D158ZA] Bypass Esophagus to Jejunum, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D158ZB] Bypass Esophagus to Ileum, Via Natural or Artificial Opening Endoscopic -- Altering the route of passage of the contents of a tubular body part
[0D16074] Bypass Stomach to Cutaneous with Autologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D16079] Bypass Stomach to Duodenum with Autologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D1607A] Bypass Stomach to Jejunum with Autologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D1607B] Bypass Stomach to Ileum with Autologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D1607L] Bypass Stomach to Transverse Colon with Autologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D160J4] Bypass Stomach to Cutaneous with Synthetic Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D160J9] Bypass Stomach to Duodenum with Synthetic Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D160JA] Bypass Stomach to Jejunum with Synthetic Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D160JB] Bypass Stomach to Ileum with Synthetic Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D160JL] Bypass Stomach to Transverse Colon with Synthetic Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D160K4] Bypass Stomach to Cutaneous with Nonautologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D160K9] Bypass Stomach to Duodenum with Nonautologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D160KA] Bypass Stomach to Jejunum with Nonautologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D160KB] Bypass Stomach to Ileum with Nonautologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D160KL] Bypass Stomach to Transverse Colon with Nonautologous Tissue Substitute, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D160Z4] Bypass Stomach to Cutaneous, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D160Z9] Bypass Stomach to Duodenum, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D160ZA] Bypass Stomach to Jejunum, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D160ZB] Bypass Stomach to Ileum, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D160ZL] Bypass Stomach to Transverse Colon, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0D163J4] Bypass Stomach to Cutaneous with Synthetic Substitute, Percutaneous Approach -- Altering the route of passage of the contents of a tubular body part
[0D16474] Bypass Stomach to Cutaneous with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
