[02] Heart and Great Vessels -- Body system (Heart and Great Vessels) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[021] Heart and Great Vessels, Bypass -- Altering the route of passage of the contents of a tubular body part
[0212444] Bypass Coronary Artery, Three Arteries from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0212483] Bypass Coronary Artery, Three Arteries from Coronary Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0212488] Bypass Coronary Artery, Three Arteries from Right Internal Mammary with Zooplastic Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0212489] Bypass Coronary Artery, Three Arteries from Left Internal Mammary with Zooplastic Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[021248C] Bypass Coronary Artery, Three Arteries from Thoracic Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[021248F] Bypass Coronary Artery, Three Arteries from Abdominal Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[021248W] Bypass Coronary Artery, Three Arteries from Aorta with Zooplastic Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0212493] Bypass Coronary Artery, Three Arteries from Coronary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0212498] Bypass Coronary Artery, Three Arteries from Right Internal Mammary with Autologous Venous Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0212499] Bypass Coronary Artery, Three Arteries from Left Internal Mammary with Autologous Venous Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[021249C] Bypass Coronary Artery, Three Arteries from Thoracic Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[021249F] Bypass Coronary Artery, Three Arteries from Abdominal Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[021249W] Bypass Coronary Artery, Three Arteries from Aorta with Autologous Venous Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02124A3] Bypass Coronary Artery, Three Arteries from Coronary Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02124A8] Bypass Coronary Artery, Three Arteries from Right Internal Mammary with Autologous Arterial Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02124A9] Bypass Coronary Artery, Three Arteries from Left Internal Mammary with Autologous Arterial Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02124AC] Bypass Coronary Artery, Three Arteries from Thoracic Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02124AF] Bypass Coronary Artery, Three Arteries from Abdominal Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02124AW] Bypass Coronary Artery, Three Arteries from Aorta with Autologous Arterial Tissue, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02124D4] Bypass Coronary Artery, Three Arteries from Coronary Vein with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02124J3] Bypass Coronary Artery, Three Arteries from Coronary Artery with Synthetic Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02124J8] Bypass Coronary Artery, Three Arteries from Right Internal Mammary with Synthetic Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02124J9] Bypass Coronary Artery, Three Arteries from Left Internal Mammary with Synthetic Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02124JC] Bypass Coronary Artery, Three Arteries from Thoracic Artery with Synthetic Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02124JF] Bypass Coronary Artery, Three Arteries from Abdominal Artery with Synthetic Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02124JW] Bypass Coronary Artery, Three Arteries from Aorta with Synthetic Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02124K3] Bypass Coronary Artery, Three Arteries from Coronary Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02124K8] Bypass Coronary Artery, Three Arteries from Right Internal Mammary with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02124K9] Bypass Coronary Artery, Three Arteries from Left Internal Mammary with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02124KC] Bypass Coronary Artery, Three Arteries from Thoracic Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02124KF] Bypass Coronary Artery, Three Arteries from Abdominal Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02124KW] Bypass Coronary Artery, Three Arteries from Aorta with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02124Z3] Bypass Coronary Artery, Three Arteries from Coronary Artery, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02124Z8] Bypass Coronary Artery, Three Arteries from Right Internal Mammary, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02124Z9] Bypass Coronary Artery, Three Arteries from Left Internal Mammary, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02124ZC] Bypass Coronary Artery, Three Arteries from Thoracic Artery, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[02124ZF] Bypass Coronary Artery, Three Arteries from Abdominal Artery, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0213083] Bypass Coronary Artery, Four or More Arteries from Coronary Artery with Zooplastic Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0213088] Bypass Coronary Artery, Four or More Arteries from Right Internal Mammary with Zooplastic Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0213089] Bypass Coronary Artery, Four or More Arteries from Left Internal Mammary with Zooplastic Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[021308C] Bypass Coronary Artery, Four or More Arteries from Thoracic Artery with Zooplastic Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[021308F] Bypass Coronary Artery, Four or More Arteries from Abdominal Artery with Zooplastic Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[021308W] Bypass Coronary Artery, Four or More Arteries from Aorta with Zooplastic Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0213093] Bypass Coronary Artery, Four or More Arteries from Coronary Artery with Autologous Venous Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0213098] Bypass Coronary Artery, Four or More Arteries from Right Internal Mammary with Autologous Venous Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0213099] Bypass Coronary Artery, Four or More Arteries from Left Internal Mammary with Autologous Venous Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[021309C] Bypass Coronary Artery, Four or More Arteries from Thoracic Artery with Autologous Venous Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[021309F] Bypass Coronary Artery, Four or More Arteries from Abdominal Artery with Autologous Venous Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[021309W] Bypass Coronary Artery, Four or More Arteries from Aorta with Autologous Venous Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
[02130A3] Bypass Coronary Artery, Four or More Arteries from Coronary Artery with Autologous Arterial Tissue, Open Approach -- Altering the route of passage of the contents of a tubular body part
