[01] Peripheral Nervous System -- Body system (Peripheral Nervous System) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[012] Peripheral Nervous System, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[012YX0Z] Change Drainage Device in Peripheral Nerve, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[012YXYZ] Change Other Device in Peripheral Nerve, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[015] Peripheral Nervous System, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[01963ZX] Drainage of Radial Nerve, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[01963ZZ] Drainage of Radial Nerve, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[019640Z] Drainage of Radial Nerve with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[01964ZX] Drainage of Radial Nerve, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[01964ZZ] Drainage of Radial Nerve, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[019800Z] Drainage of Thoracic Nerve with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[01980ZX] Drainage of Thoracic Nerve, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[01980ZZ] Drainage of Thoracic Nerve, Open Approach -- Taking or letting out fluids and/or gases from a body part
[019830Z] Drainage of Thoracic Nerve with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[01983ZX] Drainage of Thoracic Nerve, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[01983ZZ] Drainage of Thoracic Nerve, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[019840Z] Drainage of Thoracic Nerve with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[01984ZX] Drainage of Thoracic Nerve, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[01984ZZ] Drainage of Thoracic Nerve, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[019900Z] Drainage of Lumbar Plexus with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[01990ZX] Drainage of Lumbar Plexus, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[01990ZZ] Drainage of Lumbar Plexus, Open Approach -- Taking or letting out fluids and/or gases from a body part
[019930Z] Drainage of Lumbar Plexus with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[01993ZX] Drainage of Lumbar Plexus, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[01993ZZ] Drainage of Lumbar Plexus, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[019940Z] Drainage of Lumbar Plexus with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[01994ZX] Drainage of Lumbar Plexus, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[01994ZZ] Drainage of Lumbar Plexus, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[019A00Z] Drainage of Lumbosacral Plexus with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[019A0ZX] Drainage of Lumbosacral Plexus, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[019A0ZZ] Drainage of Lumbosacral Plexus, Open Approach -- Taking or letting out fluids and/or gases from a body part
[019A30Z] Drainage of Lumbosacral Plexus with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[019A3ZX] Drainage of Lumbosacral Plexus, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[019A3ZZ] Drainage of Lumbosacral Plexus, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[019A40Z] Drainage of Lumbosacral Plexus with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[019A4ZX] Drainage of Lumbosacral Plexus, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[019A4ZZ] Drainage of Lumbosacral Plexus, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[019B00Z] Drainage of Lumbar Nerve with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[019B0ZX] Drainage of Lumbar Nerve, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[019B0ZZ] Drainage of Lumbar Nerve, Open Approach -- Taking or letting out fluids and/or gases from a body part
[019B30Z] Drainage of Lumbar Nerve with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[019B3ZX] Drainage of Lumbar Nerve, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[019B3ZZ] Drainage of Lumbar Nerve, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[019B40Z] Drainage of Lumbar Nerve with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[019B4ZX] Drainage of Lumbar Nerve, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[019B4ZZ] Drainage of Lumbar Nerve, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[019C00Z] Drainage of Pudendal Nerve with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[019C0ZX] Drainage of Pudendal Nerve, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[019C0ZZ] Drainage of Pudendal Nerve, Open Approach -- Taking or letting out fluids and/or gases from a body part
[019C30Z] Drainage of Pudendal Nerve with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[019C3ZX] Drainage of Pudendal Nerve, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[019C3ZZ] Drainage of Pudendal Nerve, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[019C40Z] Drainage of Pudendal Nerve with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[019C4ZX] Drainage of Pudendal Nerve, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[019C4ZZ] Drainage of Pudendal Nerve, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[019D00Z] Drainage of Femoral Nerve with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[019D0ZX] Drainage of Femoral Nerve, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[019D0ZZ] Drainage of Femoral Nerve, Open Approach -- Taking or letting out fluids and/or gases from a body part
[019D30Z] Drainage of Femoral Nerve with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[019D3ZX] Drainage of Femoral Nerve, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[019D3ZZ] Drainage of Femoral Nerve, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[019D40Z] Drainage of Femoral Nerve with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[019D4ZX] Drainage of Femoral Nerve, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[019D4ZZ] Drainage of Femoral Nerve, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[019F00Z] Drainage of Sciatic Nerve with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[019F0ZX] Drainage of Sciatic Nerve, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[019F0ZZ] Drainage of Sciatic Nerve, Open Approach -- Taking or letting out fluids and/or gases from a body part
[019F30Z] Drainage of Sciatic Nerve with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[019F3ZX] Drainage of Sciatic Nerve, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[019F3ZZ] Drainage of Sciatic Nerve, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[019F40Z] Drainage of Sciatic Nerve with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[019F4ZX] Drainage of Sciatic Nerve, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[019F4ZZ] Drainage of Sciatic Nerve, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[019G00Z] Drainage of Tibial Nerve with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[019G0ZX] Drainage of Tibial Nerve, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[019G0ZZ] Drainage of Tibial Nerve, Open Approach -- Taking or letting out fluids and/or gases from a body part
[019G30Z] Drainage of Tibial Nerve with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[019G3ZX] Drainage of Tibial Nerve, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[019G3ZZ] Drainage of Tibial Nerve, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[019G40Z] Drainage of Tibial Nerve with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[019G4ZX] Drainage of Tibial Nerve, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[019G4ZZ] Drainage of Tibial Nerve, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[019H00Z] Drainage of Peroneal Nerve with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[019H0ZX] Drainage of Peroneal Nerve, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[019H0ZZ] Drainage of Peroneal Nerve, Open Approach -- Taking or letting out fluids and/or gases from a body part
[019H30Z] Drainage of Peroneal Nerve with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
