[0L] Tendons -- Body system (Tendons) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0L2] Tendons, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0L2XX0Z] Change Drainage Device in Upper Tendon, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0L2XXYZ] Change Other Device in Upper Tendon, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0L2YX0Z] Change Drainage Device in Lower Tendon, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0L2YXYZ] Change Other Device in Lower Tendon, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0L5] Tendons, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0L904ZZ] Drainage of Head and Neck Tendon, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0L9100Z] Drainage of Right Shoulder Tendon with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0L910ZX] Drainage of Right Shoulder Tendon, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L910ZZ] Drainage of Right Shoulder Tendon, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0L9130Z] Drainage of Right Shoulder Tendon with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0L913ZX] Drainage of Right Shoulder Tendon, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L913ZZ] Drainage of Right Shoulder Tendon, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0L9140Z] Drainage of Right Shoulder Tendon with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0L914ZX] Drainage of Right Shoulder Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L914ZZ] Drainage of Right Shoulder Tendon, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0L9200Z] Drainage of Left Shoulder Tendon with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0L920ZX] Drainage of Left Shoulder Tendon, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L920ZZ] Drainage of Left Shoulder Tendon, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0L9230Z] Drainage of Left Shoulder Tendon with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0L923ZX] Drainage of Left Shoulder Tendon, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L923ZZ] Drainage of Left Shoulder Tendon, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0L9240Z] Drainage of Left Shoulder Tendon with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0L924ZX] Drainage of Left Shoulder Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L924ZZ] Drainage of Left Shoulder Tendon, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0L9300Z] Drainage of Right Upper Arm Tendon with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0L930ZX] Drainage of Right Upper Arm Tendon, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L930ZZ] Drainage of Right Upper Arm Tendon, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0L9330Z] Drainage of Right Upper Arm Tendon with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0L933ZX] Drainage of Right Upper Arm Tendon, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L933ZZ] Drainage of Right Upper Arm Tendon, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0L9340Z] Drainage of Right Upper Arm Tendon with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0L934ZX] Drainage of Right Upper Arm Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L934ZZ] Drainage of Right Upper Arm Tendon, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0L9400Z] Drainage of Left Upper Arm Tendon with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0L940ZX] Drainage of Left Upper Arm Tendon, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L940ZZ] Drainage of Left Upper Arm Tendon, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0L9430Z] Drainage of Left Upper Arm Tendon with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0L943ZX] Drainage of Left Upper Arm Tendon, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L943ZZ] Drainage of Left Upper Arm Tendon, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0L9440Z] Drainage of Left Upper Arm Tendon with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0L944ZX] Drainage of Left Upper Arm Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L944ZZ] Drainage of Left Upper Arm Tendon, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0L9500Z] Drainage of Right Lower Arm and Wrist Tendon with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0L950ZX] Drainage of Right Lower Arm and Wrist Tendon, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L950ZZ] Drainage of Right Lower Arm and Wrist Tendon, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0L9530Z] Drainage of Right Lower Arm and Wrist Tendon with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0L953ZX] Drainage of Right Lower Arm and Wrist Tendon, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L953ZZ] Drainage of Right Lower Arm and Wrist Tendon, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0L9540Z] Drainage of Right Lower Arm and Wrist Tendon with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0L954ZX] Drainage of Right Lower Arm and Wrist Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L954ZZ] Drainage of Right Lower Arm and Wrist Tendon, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0L9600Z] Drainage of Left Lower Arm and Wrist Tendon with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0L960ZX] Drainage of Left Lower Arm and Wrist Tendon, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L960ZZ] Drainage of Left Lower Arm and Wrist Tendon, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0L9630Z] Drainage of Left Lower Arm and Wrist Tendon with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0L963ZX] Drainage of Left Lower Arm and Wrist Tendon, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L963ZZ] Drainage of Left Lower Arm and Wrist Tendon, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0L9640Z] Drainage of Left Lower Arm and Wrist Tendon with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0L964ZX] Drainage of Left Lower Arm and Wrist Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L964ZZ] Drainage of Left Lower Arm and Wrist Tendon, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0L9700Z] Drainage of Right Hand Tendon with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0L970ZX] Drainage of Right Hand Tendon, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L970ZZ] Drainage of Right Hand Tendon, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0L9730Z] Drainage of Right Hand Tendon with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0L973ZX] Drainage of Right Hand Tendon, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L973ZZ] Drainage of Right Hand Tendon, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0L9740Z] Drainage of Right Hand Tendon with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0L974ZX] Drainage of Right Hand Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L974ZZ] Drainage of Right Hand Tendon, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0L9800Z] Drainage of Left Hand Tendon with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0L980ZX] Drainage of Left Hand Tendon, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L980ZZ] Drainage of Left Hand Tendon, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0L9830Z] Drainage of Left Hand Tendon with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0L983ZX] Drainage of Left Hand Tendon, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L983ZZ] Drainage of Left Hand Tendon, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0L9840Z] Drainage of Left Hand Tendon with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0L984ZX] Drainage of Left Hand Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L984ZZ] Drainage of Left Hand Tendon, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0L9900Z] Drainage of Right Trunk Tendon with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0L990ZX] Drainage of Right Trunk Tendon, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L990ZZ] Drainage of Right Trunk Tendon, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0L9930Z] Drainage of Right Trunk Tendon with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0L993ZX] Drainage of Right Trunk Tendon, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0L993ZZ] Drainage of Right Trunk Tendon, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
