[0B] Respiratory System -- Body system (Respiratory System) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0B1] Respiratory System, Bypass -- Altering the route of passage of the contents of a tubular body part
[0B110D6] Bypass Trachea to Esophagus with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0B110F4] Bypass Trachea to Cutaneous with Tracheostomy Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0B110Z4] Bypass Trachea to Cutaneous, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0B113F4] Bypass Trachea to Cutaneous with Tracheostomy Device, Percutaneous Approach -- Altering the route of passage of the contents of a tubular body part
[0B113Z4] Bypass Trachea to Cutaneous, Percutaneous Approach -- Altering the route of passage of the contents of a tubular body part
[0B114F4] Bypass Trachea to Cutaneous with Tracheostomy Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0B114Z4] Bypass Trachea to Cutaneous, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0B2] Respiratory System, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B20X0Z] Change Drainage Device in Tracheobronchial Tree, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B20XYZ] Change Other Device in Tracheobronchial Tree, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B21X0Z] Change Drainage Device in Trachea, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B21XEZ] Change Endotracheal Airway in Trachea, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B21XFZ] Change Tracheostomy Device in Trachea, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B21XYZ] Change Other Device in Trachea, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2KX0Z] Change Drainage Device in Right Lung, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2KXYZ] Change Other Device in Right Lung, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2LX0Z] Change Drainage Device in Left Lung, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2LXYZ] Change Other Device in Left Lung, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2QX0Z] Change Drainage Device in Pleura, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2QXYZ] Change Other Device in Pleura, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2TX0Z] Change Drainage Device in Diaphragm, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2TXYZ] Change Other Device in Diaphragm, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B5] Respiratory System, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0B713ZZ] Dilation of Trachea, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[0B714DZ] Dilation of Trachea with Intraluminal Device, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[0B714ZZ] Dilation of Trachea, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[0B717DZ] Dilation of Trachea with Intraluminal Device, Via Natural or Artificial Opening -- Expanding an orifice or the lumen of a tubular body part
[0B717ZZ] Dilation of Trachea, Via Natural or Artificial Opening -- Expanding an orifice or the lumen of a tubular body part
[0B718DZ] Dilation of Trachea with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Expanding an orifice or the lumen of a tubular body part
[0B718ZZ] Dilation of Trachea, Via Natural or Artificial Opening Endoscopic -- Expanding an orifice or the lumen of a tubular body part
[0B720DZ] Dilation of Carina with Intraluminal Device, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[0B720ZZ] Dilation of Carina, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[0B723DZ] Dilation of Carina with Intraluminal Device, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[0B723ZZ] Dilation of Carina, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[0B724DZ] Dilation of Carina with Intraluminal Device, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[0B724ZZ] Dilation of Carina, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[0B727DZ] Dilation of Carina with Intraluminal Device, Via Natural or Artificial Opening -- Expanding an orifice or the lumen of a tubular body part
[0B727ZZ] Dilation of Carina, Via Natural or Artificial Opening -- Expanding an orifice or the lumen of a tubular body part
[0B728DZ] Dilation of Carina with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Expanding an orifice or the lumen of a tubular body part
[0B728ZZ] Dilation of Carina, Via Natural or Artificial Opening Endoscopic -- Expanding an orifice or the lumen of a tubular body part
[0B730DZ] Dilation of Right Main Bronchus with Intraluminal Device, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[0B730ZZ] Dilation of Right Main Bronchus, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[0B733DZ] Dilation of Right Main Bronchus with Intraluminal Device, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[0B733ZZ] Dilation of Right Main Bronchus, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[0B734DZ] Dilation of Right Main Bronchus with Intraluminal Device, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[0B734ZZ] Dilation of Right Main Bronchus, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[0B737DZ] Dilation of Right Main Bronchus with Intraluminal Device, Via Natural or Artificial Opening -- Expanding an orifice or the lumen of a tubular body part
[0B737ZZ] Dilation of Right Main Bronchus, Via Natural or Artificial Opening -- Expanding an orifice or the lumen of a tubular body part
[0B738DZ] Dilation of Right Main Bronchus with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Expanding an orifice or the lumen of a tubular body part
[0B738ZZ] Dilation of Right Main Bronchus, Via Natural or Artificial Opening Endoscopic -- Expanding an orifice or the lumen of a tubular body part
[0B740DZ] Dilation of Right Upper Lobe Bronchus with Intraluminal Device, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[0B740ZZ] Dilation of Right Upper Lobe Bronchus, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[0B743DZ] Dilation of Right Upper Lobe Bronchus with Intraluminal Device, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[0B743ZZ] Dilation of Right Upper Lobe Bronchus, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[0B744DZ] Dilation of Right Upper Lobe Bronchus with Intraluminal Device, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[0B744ZZ] Dilation of Right Upper Lobe Bronchus, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[0B747DZ] Dilation of Right Upper Lobe Bronchus with Intraluminal Device, Via Natural or Artificial Opening -- Expanding an orifice or the lumen of a tubular body part
[0B747ZZ] Dilation of Right Upper Lobe Bronchus, Via Natural or Artificial Opening -- Expanding an orifice or the lumen of a tubular body part
[0B748DZ] Dilation of Right Upper Lobe Bronchus with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Expanding an orifice or the lumen of a tubular body part
[0B748ZZ] Dilation of Right Upper Lobe Bronchus, Via Natural or Artificial Opening Endoscopic -- Expanding an orifice or the lumen of a tubular body part
[0B750DZ] Dilation of Right Middle Lobe Bronchus with Intraluminal Device, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[0B750ZZ] Dilation of Right Middle Lobe Bronchus, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[0B753DZ] Dilation of Right Middle Lobe Bronchus with Intraluminal Device, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[0B753ZZ] Dilation of Right Middle Lobe Bronchus, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[0B754DZ] Dilation of Right Middle Lobe Bronchus with Intraluminal Device, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[0B754ZZ] Dilation of Right Middle Lobe Bronchus, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[0B757DZ] Dilation of Right Middle Lobe Bronchus with Intraluminal Device, Via Natural or Artificial Opening -- Expanding an orifice or the lumen of a tubular body part
[0B757ZZ] Dilation of Right Middle Lobe Bronchus, Via Natural or Artificial Opening -- Expanding an orifice or the lumen of a tubular body part
[0B758DZ] Dilation of Right Middle Lobe Bronchus with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Expanding an orifice or the lumen of a tubular body part
[0B758ZZ] Dilation of Right Middle Lobe Bronchus, Via Natural or Artificial Opening Endoscopic -- Expanding an orifice or the lumen of a tubular body part
[0B760DZ] Dilation of Right Lower Lobe Bronchus with Intraluminal Device, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[0B760ZZ] Dilation of Right Lower Lobe Bronchus, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[0B763DZ] Dilation of Right Lower Lobe Bronchus with Intraluminal Device, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[0B763ZZ] Dilation of Right Lower Lobe Bronchus, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[0B764DZ] Dilation of Right Lower Lobe Bronchus with Intraluminal Device, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[0B764ZZ] Dilation of Right Lower Lobe Bronchus, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[0B767DZ] Dilation of Right Lower Lobe Bronchus with Intraluminal Device, Via Natural or Artificial Opening -- Expanding an orifice or the lumen of a tubular body part
[0B767ZZ] Dilation of Right Lower Lobe Bronchus, Via Natural or Artificial Opening -- Expanding an orifice or the lumen of a tubular body part
[0B768DZ] Dilation of Right Lower Lobe Bronchus with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Expanding an orifice or the lumen of a tubular body part
[0B768ZZ] Dilation of Right Lower Lobe Bronchus, Via Natural or Artificial Opening Endoscopic -- Expanding an orifice or the lumen of a tubular body part
[0B770DZ] Dilation of Left Main Bronchus with Intraluminal Device, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[0B770ZZ] Dilation of Left Main Bronchus, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[0B773DZ] Dilation of Left Main Bronchus with Intraluminal Device, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[0B773ZZ] Dilation of Left Main Bronchus, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[0B774DZ] Dilation of Left Main Bronchus with Intraluminal Device, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[0B774ZZ] Dilation of Left Main Bronchus, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[0B777DZ] Dilation of Left Main Bronchus with Intraluminal Device, Via Natural or Artificial Opening -- Expanding an orifice or the lumen of a tubular body part
[0B777ZZ] Dilation of Left Main Bronchus, Via Natural or Artificial Opening -- Expanding an orifice or the lumen of a tubular body part
[0B778DZ] Dilation of Left Main Bronchus with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Expanding an orifice or the lumen of a tubular body part
[0B778ZZ] Dilation of Left Main Bronchus, Via Natural or Artificial Opening Endoscopic -- Expanding an orifice or the lumen of a tubular body part
[0B780DZ] Dilation of Left Upper Lobe Bronchus with Intraluminal Device, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[0B780ZZ] Dilation of Left Upper Lobe Bronchus, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[0B783DZ] Dilation of Left Upper Lobe Bronchus with Intraluminal Device, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[0B783ZZ] Dilation of Left Upper Lobe Bronchus, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[0B784DZ] Dilation of Left Upper Lobe Bronchus with Intraluminal Device, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[0B784ZZ] Dilation of Left Upper Lobe Bronchus, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[0B787DZ] Dilation of Left Upper Lobe Bronchus with Intraluminal Device, Via Natural or Artificial Opening -- Expanding an orifice or the lumen of a tubular body part
[0B787ZZ] Dilation of Left Upper Lobe Bronchus, Via Natural or Artificial Opening -- Expanding an orifice or the lumen of a tubular body part
[0B788DZ] Dilation of Left Upper Lobe Bronchus with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Expanding an orifice or the lumen of a tubular body part
[0B788ZZ] Dilation of Left Upper Lobe Bronchus, Via Natural or Artificial Opening Endoscopic -- Expanding an orifice or the lumen of a tubular body part
[0B790DZ] Dilation of Lingula Bronchus with Intraluminal Device, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[0B790ZZ] Dilation of Lingula Bronchus, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[0B793DZ] Dilation of Lingula Bronchus with Intraluminal Device, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[0B793ZZ] Dilation of Lingula Bronchus, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[0B794DZ] Dilation of Lingula Bronchus with Intraluminal Device, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[0B794ZZ] Dilation of Lingula Bronchus, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[0B797DZ] Dilation of Lingula Bronchus with Intraluminal Device, Via Natural or Artificial Opening -- Expanding an orifice or the lumen of a tubular body part
[0B797ZZ] Dilation of Lingula Bronchus, Via Natural or Artificial Opening -- Expanding an orifice or the lumen of a tubular body part
[0B798DZ] Dilation of Lingula Bronchus with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Expanding an orifice or the lumen of a tubular body part
[0B798ZZ] Dilation of Lingula Bronchus, Via Natural or Artificial Opening Endoscopic -- Expanding an orifice or the lumen of a tubular body part
[0B7B0DZ] Dilation of Left Lower Lobe Bronchus with Intraluminal Device, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[0B7B0ZZ] Dilation of Left Lower Lobe Bronchus, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[0B7B3DZ] Dilation of Left Lower Lobe Bronchus with Intraluminal Device, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[0B7B3ZZ] Dilation of Left Lower Lobe Bronchus, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[0B7B4DZ] Dilation of Left Lower Lobe Bronchus with Intraluminal Device, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[0B7B4ZZ] Dilation of Left Lower Lobe Bronchus, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[0B7B7DZ] Dilation of Left Lower Lobe Bronchus with Intraluminal Device, Via Natural or Artificial Opening -- Expanding an orifice or the lumen of a tubular body part
[0B7B7ZZ] Dilation of Left Lower Lobe Bronchus, Via Natural or Artificial Opening -- Expanding an orifice or the lumen of a tubular body part
[0B7B8DZ] Dilation of Left Lower Lobe Bronchus with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Expanding an orifice or the lumen of a tubular body part
[0B7B8ZZ] Dilation of Left Lower Lobe Bronchus, Via Natural or Artificial Opening Endoscopic -- Expanding an orifice or the lumen of a tubular body part
[0B9] Respiratory System, Drainage -- Taking or letting out fluids and/or gases from a body part
[0B9100Z] Drainage of Trachea with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0B910ZX] Drainage of Trachea, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0B910ZZ] Drainage of Trachea, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0B9130Z] Drainage of Trachea with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0B913ZX] Drainage of Trachea, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0B913ZZ] Drainage of Trachea, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0B9140Z] Drainage of Trachea with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0B914ZX] Drainage of Trachea, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0B914ZZ] Drainage of Trachea, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0B9170Z] Drainage of Trachea with Drainage Device, Via Natural or Artificial Opening -- Taking or letting out fluids and/or gases from a body part
[0B917ZX] Drainage of Trachea, Via Natural or Artificial Opening, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0B917ZZ] Drainage of Trachea, Via Natural or Artificial Opening -- Taking or letting out fluids and/or gases from a body part
[0B9180Z] Drainage of Trachea with Drainage Device, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[0B918ZX] Drainage of Trachea, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0B918ZZ] Drainage of Trachea, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[0B9200Z] Drainage of Carina with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0B920ZX] Drainage of Carina, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0B920ZZ] Drainage of Carina, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0B9230Z] Drainage of Carina with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0B923ZX] Drainage of Carina, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0B923ZZ] Drainage of Carina, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0B9240Z] Drainage of Carina with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0B924ZX] Drainage of Carina, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0B924ZZ] Drainage of Carina, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0B9270Z] Drainage of Carina with Drainage Device, Via Natural or Artificial Opening -- Taking or letting out fluids and/or gases from a body part
[0B927ZX] Drainage of Carina, Via Natural or Artificial Opening, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0B927ZZ] Drainage of Carina, Via Natural or Artificial Opening -- Taking or letting out fluids and/or gases from a body part
[0B9280Z] Drainage of Carina with Drainage Device, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[0B928ZX] Drainage of Carina, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0B928ZZ] Drainage of Carina, Via Natural or Artificial Opening Endoscopic -- Taking or letting out fluids and/or gases from a body part
[0B9300Z] Drainage of Right Main Bronchus with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0B930ZX] Drainage of Right Main Bronchus, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
