[0N] Head and Facial Bones -- Body system (Head and Facial Bones) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0N2] Head and Facial Bones, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N20X0Z] Change Drainage Device in Skull, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N20XYZ] Change Other Device in Skull, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N2BX0Z] Change Drainage Device in Nasal Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N2BXYZ] Change Other Device in Nasal Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N2WX0Z] Change Drainage Device in Facial Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N2WXYZ] Change Other Device in Facial Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N5] Head and Facial Bones, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0N960ZX] Drainage of Left Temporal Bone, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N960ZZ] Drainage of Left Temporal Bone, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0N9630Z] Drainage of Left Temporal Bone with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0N963ZX] Drainage of Left Temporal Bone, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N963ZZ] Drainage of Left Temporal Bone, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0N9640Z] Drainage of Left Temporal Bone with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0N964ZX] Drainage of Left Temporal Bone, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N964ZZ] Drainage of Left Temporal Bone, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0N9700Z] Drainage of Occipital Bone with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0N970ZX] Drainage of Occipital Bone, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N970ZZ] Drainage of Occipital Bone, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0N9730Z] Drainage of Occipital Bone with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0N973ZX] Drainage of Occipital Bone, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N973ZZ] Drainage of Occipital Bone, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0N9740Z] Drainage of Occipital Bone with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0N974ZX] Drainage of Occipital Bone, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N974ZZ] Drainage of Occipital Bone, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0N9B00Z] Drainage of Nasal Bone with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0N9B0ZX] Drainage of Nasal Bone, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N9B0ZZ] Drainage of Nasal Bone, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0N9B30Z] Drainage of Nasal Bone with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0N9B3ZX] Drainage of Nasal Bone, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N9B3ZZ] Drainage of Nasal Bone, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0N9B40Z] Drainage of Nasal Bone with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0N9B4ZX] Drainage of Nasal Bone, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N9B4ZZ] Drainage of Nasal Bone, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0N9C00Z] Drainage of Sphenoid Bone with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0N9C0ZX] Drainage of Sphenoid Bone, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N9C0ZZ] Drainage of Sphenoid Bone, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0N9C30Z] Drainage of Sphenoid Bone with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0N9C3ZX] Drainage of Sphenoid Bone, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N9C3ZZ] Drainage of Sphenoid Bone, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0N9C40Z] Drainage of Sphenoid Bone with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0N9C4ZX] Drainage of Sphenoid Bone, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N9C4ZZ] Drainage of Sphenoid Bone, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0N9F00Z] Drainage of Right Ethmoid Bone with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0N9F0ZX] Drainage of Right Ethmoid Bone, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N9F0ZZ] Drainage of Right Ethmoid Bone, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0N9F30Z] Drainage of Right Ethmoid Bone with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0N9F3ZX] Drainage of Right Ethmoid Bone, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N9F3ZZ] Drainage of Right Ethmoid Bone, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0N9F40Z] Drainage of Right Ethmoid Bone with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0N9F4ZX] Drainage of Right Ethmoid Bone, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N9F4ZZ] Drainage of Right Ethmoid Bone, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0N9G00Z] Drainage of Left Ethmoid Bone with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0N9G0ZX] Drainage of Left Ethmoid Bone, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N9G0ZZ] Drainage of Left Ethmoid Bone, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0N9G30Z] Drainage of Left Ethmoid Bone with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0N9G3ZX] Drainage of Left Ethmoid Bone, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N9G3ZZ] Drainage of Left Ethmoid Bone, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0N9G40Z] Drainage of Left Ethmoid Bone with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0N9G4ZX] Drainage of Left Ethmoid Bone, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N9G4ZZ] Drainage of Left Ethmoid Bone, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0N9H00Z] Drainage of Right Lacrimal Bone with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0N9H0ZX] Drainage of Right Lacrimal Bone, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N9H0ZZ] Drainage of Right Lacrimal Bone, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0N9H30Z] Drainage of Right Lacrimal Bone with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0N9H3ZX] Drainage of Right Lacrimal Bone, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N9H3ZZ] Drainage of Right Lacrimal Bone, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0N9H40Z] Drainage of Right Lacrimal Bone with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0N9H4ZX] Drainage of Right Lacrimal Bone, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N9H4ZZ] Drainage of Right Lacrimal Bone, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0N9J00Z] Drainage of Left Lacrimal Bone with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0N9J0ZX] Drainage of Left Lacrimal Bone, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N9J0ZZ] Drainage of Left Lacrimal Bone, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0N9J30Z] Drainage of Left Lacrimal Bone with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0N9J3ZX] Drainage of Left Lacrimal Bone, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N9J3ZZ] Drainage of Left Lacrimal Bone, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0N9J40Z] Drainage of Left Lacrimal Bone with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0N9J4ZX] Drainage of Left Lacrimal Bone, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N9J4ZZ] Drainage of Left Lacrimal Bone, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0N9K00Z] Drainage of Right Palatine Bone with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0N9K0ZX] Drainage of Right Palatine Bone, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N9K0ZZ] Drainage of Right Palatine Bone, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0N9K30Z] Drainage of Right Palatine Bone with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0N9K3ZX] Drainage of Right Palatine Bone, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N9K3ZZ] Drainage of Right Palatine Bone, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0N9K40Z] Drainage of Right Palatine Bone with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0N9K4ZX] Drainage of Right Palatine Bone, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N9K4ZZ] Drainage of Right Palatine Bone, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0N9L00Z] Drainage of Left Palatine Bone with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0N9L0ZX] Drainage of Left Palatine Bone, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N9L0ZZ] Drainage of Left Palatine Bone, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0N9L30Z] Drainage of Left Palatine Bone with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0N9L3ZX] Drainage of Left Palatine Bone, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N9L3ZZ] Drainage of Left Palatine Bone, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0N9L40Z] Drainage of Left Palatine Bone with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0N9L4ZX] Drainage of Left Palatine Bone, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N9L4ZZ] Drainage of Left Palatine Bone, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0N9M00Z] Drainage of Right Zygomatic Bone with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0N9M0ZX] Drainage of Right Zygomatic Bone, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0N9M0ZZ] Drainage of Right Zygomatic Bone, Open Approach -- Taking or letting out fluids and/or gases from a body part
