[0F] Hepatobiliary System and Pancreas -- Body system (Hepatobiliary System and Pancreas) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0F1] Hepatobiliary System and Pancreas, Bypass -- Altering the route of passage of the contents of a tubular body part
[0F1D4ZC] Bypass Pancreatic Duct to Large Intestine, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F1F0D3] Bypass Accessory Pancreatic Duct to Duodenum with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F1F0DB] Bypass Accessory Pancreatic Duct to Small Intestine with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F1F0DC] Bypass Accessory Pancreatic Duct to Large Intestine with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F1F0Z3] Bypass Accessory Pancreatic Duct to Duodenum, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F1F0ZB] Bypass Accessory Pancreatic Duct to Small Intestine, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F1F0ZC] Bypass Accessory Pancreatic Duct to Large Intestine, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F1F4D3] Bypass Accessory Pancreatic Duct to Duodenum with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F1F4DB] Bypass Accessory Pancreatic Duct to Small Intestine with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F1F4DC] Bypass Accessory Pancreatic Duct to Large Intestine with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F1F4Z3] Bypass Accessory Pancreatic Duct to Duodenum, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F1F4ZB] Bypass Accessory Pancreatic Duct to Small Intestine, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F1F4ZC] Bypass Accessory Pancreatic Duct to Large Intestine, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F1G0D3] Bypass Pancreas to Duodenum with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F1G0DB] Bypass Pancreas to Small Intestine with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F1G0DC] Bypass Pancreas to Large Intestine with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F1G0Z3] Bypass Pancreas to Duodenum, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F1G0ZB] Bypass Pancreas to Small Intestine, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F1G0ZC] Bypass Pancreas to Large Intestine, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0F1G4D3] Bypass Pancreas to Duodenum with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F1G4DB] Bypass Pancreas to Small Intestine with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F1G4DC] Bypass Pancreas to Large Intestine with Intraluminal Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F1G4Z3] Bypass Pancreas to Duodenum, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F1G4ZB] Bypass Pancreas to Small Intestine, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F1G4ZC] Bypass Pancreas to Large Intestine, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0F2] Hepatobiliary System and Pancreas, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0F20X0Z] Change Drainage Device in Liver, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0F20XYZ] Change Other Device in Liver, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0F24X0Z] Change Drainage Device in Gallbladder, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0F24XYZ] Change Other Device in Gallbladder, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0F2BX0Z] Change Drainage Device in Hepatobiliary Duct, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0F2BXYZ] Change Other Device in Hepatobiliary Duct, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0F2DX0Z] Change Drainage Device in Pancreatic Duct, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0F2DXYZ] Change Other Device in Pancreatic Duct, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0F2GX0Z] Change Drainage Device in Pancreas, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0F2GXYZ] Change Other Device in Pancreas, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0F5] Hepatobiliary System and Pancreas, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0F500Z3] Destruction of Liver using Laser Interstitial Thermal Therapy, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0F500ZF] Destruction of Liver using Irreversible Electroporation, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0F500ZZ] Destruction of Liver, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0F503Z3] Destruction of Liver using Laser Interstitial Thermal Therapy, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0F503ZF] Destruction of Liver using Irreversible Electroporation, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0F503ZZ] Destruction of Liver, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0F504Z3] Destruction of Liver using Laser Interstitial Thermal Therapy, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0F504ZF] Destruction of Liver using Irreversible Electroporation, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0F504ZZ] Destruction of Liver, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0F510Z3] Destruction of Right Lobe Liver using Laser Interstitial Thermal Therapy, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0F510ZF] Destruction of Right Lobe Liver using Irreversible Electroporation, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0F510ZZ] Destruction of Right Lobe Liver, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0F513Z3] Destruction of Right Lobe Liver using Laser Interstitial Thermal Therapy, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0F513ZF] Destruction of Right Lobe Liver using Irreversible Electroporation, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0F513ZZ] Destruction of Right Lobe Liver, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0F514Z3] Destruction of Right Lobe Liver using Laser Interstitial Thermal Therapy, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0F514ZF] Destruction of Right Lobe Liver using Irreversible Electroporation, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0F514ZZ] Destruction of Right Lobe Liver, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0F520Z3] Destruction of Left Lobe Liver using Laser Interstitial Thermal Therapy, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0F520ZF] Destruction of Left Lobe Liver using Irreversible Electroporation, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0F520ZZ] Destruction of Left Lobe Liver, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0F523Z3] Destruction of Left Lobe Liver using Laser Interstitial Thermal Therapy, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0F523ZF] Destruction of Left Lobe Liver using Irreversible Electroporation, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0F523ZZ] Destruction of Left Lobe Liver, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
