[07] Lymphatic and Hemic Systems -- Body system (Lymphatic and Hemic Systems) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[071] Lymphatic and Hemic Systems, Bypass -- Altering the route of passage of the contents of a tubular body part
[07514ZZ] Destruction of Right Neck Lymphatic, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[07520ZZ] Destruction of Left Neck Lymphatic, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[07523ZZ] Destruction of Left Neck Lymphatic, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[07524ZZ] Destruction of Left Neck Lymphatic, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[07530ZZ] Destruction of Right Upper Extremity Lymphatic, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[07533ZZ] Destruction of Right Upper Extremity Lymphatic, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[07534ZZ] Destruction of Right Upper Extremity Lymphatic, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[07540ZZ] Destruction of Left Upper Extremity Lymphatic, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[07543ZZ] Destruction of Left Upper Extremity Lymphatic, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[07544ZZ] Destruction of Left Upper Extremity Lymphatic, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[07550ZZ] Destruction of Right Axillary Lymphatic, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[07553ZZ] Destruction of Right Axillary Lymphatic, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[07554ZZ] Destruction of Right Axillary Lymphatic, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[07560ZZ] Destruction of Left Axillary Lymphatic, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[07563ZZ] Destruction of Left Axillary Lymphatic, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[07564ZZ] Destruction of Left Axillary Lymphatic, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[07570ZZ] Destruction of Thorax Lymphatic, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[07573ZZ] Destruction of Thorax Lymphatic, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[07574ZZ] Destruction of Thorax Lymphatic, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[07580ZZ] Destruction of Right Internal Mammary Lymphatic, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[07583ZZ] Destruction of Right Internal Mammary Lymphatic, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[07584ZZ] Destruction of Right Internal Mammary Lymphatic, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[07590ZZ] Destruction of Left Internal Mammary Lymphatic, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[07593ZZ] Destruction of Left Internal Mammary Lymphatic, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[07594ZZ] Destruction of Left Internal Mammary Lymphatic, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[075B0ZZ] Destruction of Mesenteric Lymphatic, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[075B3ZZ] Destruction of Mesenteric Lymphatic, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[075B4ZZ] Destruction of Mesenteric Lymphatic, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[075C0ZZ] Destruction of Pelvis Lymphatic, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[075C3ZZ] Destruction of Pelvis Lymphatic, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[075C4ZZ] Destruction of Pelvis Lymphatic, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[075D0ZZ] Destruction of Aortic Lymphatic, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[075D3ZZ] Destruction of Aortic Lymphatic, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[075D4ZZ] Destruction of Aortic Lymphatic, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[075F0ZZ] Destruction of Right Lower Extremity Lymphatic, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[075F3ZZ] Destruction of Right Lower Extremity Lymphatic, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[075F4ZZ] Destruction of Right Lower Extremity Lymphatic, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[075G0ZZ] Destruction of Left Lower Extremity Lymphatic, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[075G3ZZ] Destruction of Left Lower Extremity Lymphatic, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[075G4ZZ] Destruction of Left Lower Extremity Lymphatic, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[075H0ZZ] Destruction of Right Inguinal Lymphatic, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[075H3ZZ] Destruction of Right Inguinal Lymphatic, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[075H4ZZ] Destruction of Right Inguinal Lymphatic, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[075J0ZZ] Destruction of Left Inguinal Lymphatic, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[075J3ZZ] Destruction of Left Inguinal Lymphatic, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[075J4ZZ] Destruction of Left Inguinal Lymphatic, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[075K0ZZ] Destruction of Thoracic Duct, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[075K3ZZ] Destruction of Thoracic Duct, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[075K4ZZ] Destruction of Thoracic Duct, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[075L0ZZ] Destruction of Cisterna Chyli, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[075L3ZZ] Destruction of Cisterna Chyli, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[075L4ZZ] Destruction of Cisterna Chyli, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[075M0ZZ] Destruction of Thymus, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[075M3ZZ] Destruction of Thymus, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[075M4ZZ] Destruction of Thymus, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[075P0ZZ] Destruction of Spleen, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[075P3ZZ] Destruction of Spleen, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[075P4ZZ] Destruction of Spleen, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[079] Lymphatic and Hemic Systems, Drainage -- Taking or letting out fluids and/or gases from a body part
[079000Z] Drainage of Head Lymphatic with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[07900ZX] Drainage of Head Lymphatic, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[07900ZZ] Drainage of Head Lymphatic, Open Approach -- Taking or letting out fluids and/or gases from a body part
