[0M] Bursae and Ligaments -- Body system (Bursae and Ligaments) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0M2] Bursae and Ligaments, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0M2XX0Z] Change Drainage Device in Upper Bursa and Ligament, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0M2XXYZ] Change Other Device in Upper Bursa and Ligament, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0M2YX0Z] Change Drainage Device in Lower Bursa and Ligament, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0M2YXYZ] Change Other Device in Lower Bursa and Ligament, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0M5] Bursae and Ligaments, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0M8V4ZZ] Division of Right Lower Extremity Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8W0ZZ] Division of Left Lower Extremity Bursa and Ligament, Open Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8W3ZZ] Division of Left Lower Extremity Bursa and Ligament, Percutaneous Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M8W4ZZ] Division of Left Lower Extremity Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting into a body part, without draining fluids and/or gases from the body part, in order to separate or transect a body part
[0M9] Bursae and Ligaments, Drainage -- Taking or letting out fluids and/or gases from a body part
[0M9000Z] Drainage of Head and Neck Bursa and Ligament with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M900ZX] Drainage of Head and Neck Bursa and Ligament, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M900ZZ] Drainage of Head and Neck Bursa and Ligament, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M9030Z] Drainage of Head and Neck Bursa and Ligament with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M903ZX] Drainage of Head and Neck Bursa and Ligament, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M903ZZ] Drainage of Head and Neck Bursa and Ligament, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M9040Z] Drainage of Head and Neck Bursa and Ligament with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M904ZX] Drainage of Head and Neck Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M904ZZ] Drainage of Head and Neck Bursa and Ligament, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M9100Z] Drainage of Right Shoulder Bursa and Ligament with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M910ZX] Drainage of Right Shoulder Bursa and Ligament, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M910ZZ] Drainage of Right Shoulder Bursa and Ligament, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M9130Z] Drainage of Right Shoulder Bursa and Ligament with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M913ZX] Drainage of Right Shoulder Bursa and Ligament, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M913ZZ] Drainage of Right Shoulder Bursa and Ligament, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M9140Z] Drainage of Right Shoulder Bursa and Ligament with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M914ZX] Drainage of Right Shoulder Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M914ZZ] Drainage of Right Shoulder Bursa and Ligament, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M9200Z] Drainage of Left Shoulder Bursa and Ligament with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M920ZX] Drainage of Left Shoulder Bursa and Ligament, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M920ZZ] Drainage of Left Shoulder Bursa and Ligament, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M9230Z] Drainage of Left Shoulder Bursa and Ligament with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M923ZX] Drainage of Left Shoulder Bursa and Ligament, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M923ZZ] Drainage of Left Shoulder Bursa and Ligament, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M9240Z] Drainage of Left Shoulder Bursa and Ligament with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M924ZX] Drainage of Left Shoulder Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M924ZZ] Drainage of Left Shoulder Bursa and Ligament, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M9300Z] Drainage of Right Elbow Bursa and Ligament with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M930ZX] Drainage of Right Elbow Bursa and Ligament, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M930ZZ] Drainage of Right Elbow Bursa and Ligament, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M9330Z] Drainage of Right Elbow Bursa and Ligament with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M933ZX] Drainage of Right Elbow Bursa and Ligament, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M933ZZ] Drainage of Right Elbow Bursa and Ligament, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M9340Z] Drainage of Right Elbow Bursa and Ligament with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M934ZX] Drainage of Right Elbow Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M934ZZ] Drainage of Right Elbow Bursa and Ligament, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M9400Z] Drainage of Left Elbow Bursa and Ligament with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M940ZX] Drainage of Left Elbow Bursa and Ligament, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M940ZZ] Drainage of Left Elbow Bursa and Ligament, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M9430Z] Drainage of Left Elbow Bursa and Ligament with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M943ZX] Drainage of Left Elbow Bursa and Ligament, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M943ZZ] Drainage of Left Elbow Bursa and Ligament, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M9440Z] Drainage of Left Elbow Bursa and Ligament with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M944ZX] Drainage of Left Elbow Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M944ZZ] Drainage of Left Elbow Bursa and Ligament, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M9500Z] Drainage of Right Wrist Bursa and Ligament with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M950ZX] Drainage of Right Wrist Bursa and Ligament, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M950ZZ] Drainage of Right Wrist Bursa and Ligament, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M9530Z] Drainage of Right Wrist Bursa and Ligament with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M953ZX] Drainage of Right Wrist Bursa and Ligament, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M953ZZ] Drainage of Right Wrist Bursa and Ligament, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M9540Z] Drainage of Right Wrist Bursa and Ligament with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M954ZX] Drainage of Right Wrist Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M954ZZ] Drainage of Right Wrist Bursa and Ligament, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M9600Z] Drainage of Left Wrist Bursa and Ligament with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M960ZX] Drainage of Left Wrist Bursa and Ligament, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M960ZZ] Drainage of Left Wrist Bursa and Ligament, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M9630Z] Drainage of Left Wrist Bursa and Ligament with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M963ZX] Drainage of Left Wrist Bursa and Ligament, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M963ZZ] Drainage of Left Wrist Bursa and Ligament, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M9640Z] Drainage of Left Wrist Bursa and Ligament with Drainage Device, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M964ZX] Drainage of Left Wrist Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M964ZZ] Drainage of Left Wrist Bursa and Ligament, Percutaneous Endoscopic Approach -- Taking or letting out fluids and/or gases from a body part
[0M9700Z] Drainage of Right Hand Bursa and Ligament with Drainage Device, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M970ZX] Drainage of Right Hand Bursa and Ligament, Open Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M970ZZ] Drainage of Right Hand Bursa and Ligament, Open Approach -- Taking or letting out fluids and/or gases from a body part
[0M9730Z] Drainage of Right Hand Bursa and Ligament with Drainage Device, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
[0M973ZX] Drainage of Right Hand Bursa and Ligament, Percutaneous Approach, Diagnostic -- Taking or letting out fluids and/or gases from a body part
[0M973ZZ] Drainage of Right Hand Bursa and Ligament, Percutaneous Approach -- Taking or letting out fluids and/or gases from a body part
